timestamp,session_time,Fp1,Fp2,C3,C4,P7,P8,O1,O2,EMG,IMU1_ax,IMU1_ay,IMU1_az,IMU1_gx,IMU1_gy,IMU1_gz,IMU2_ax,IMU2_ay,IMU2_az,IMU2_gx,IMU2_gy,IMU2_gz,IMU3_ax,IMU3_ay,IMU3_az,IMU3_gx,IMU3_gy,IMU3_gz
1749632458.175076,1.696,-3467.185030318502,-3460.062282614384,-3463.379370898529,-318.8646029817585,-3501.4219773765776,-3462.5695817255473,-3477.1163127113955,-3469.874669372996,2159,16380.0,15004.0,14596.0,-6660.0,9444.0,-17216.0,-3992.0,-900.0,-2124.0,-480.0,1194.0,1791.0,1106.0,3600.0,469.0,199.0,-138.0,-248.0
1749632458.2250738,1.746,-3468.9509801806184,-3485.697280400667,-3460.3989870576843,-328.8947985493897,-3487.5341679941616,-3471.504238948731,-3476.4299152260915,-3481.4994652121622,2154,16308.0,14960.0,14480.0,-6720.0,9508.0,-17212.0,-4144.0,-892.0,-1924.0,-454.0,1191.0,1822.0,1067.0,3667.0,473.0,217.0,-139.0,-245.0
1749632458.275069,1.796,-3466.7054512894692,-3474.845805745817,-3462.80387606369,-318.25214059676415,-3500.5367544188207,-3461.822237738638,-3476.6367336823623,-3468.0153015125156,2157,16476.0,14896.0,14516.0,-6664.0,9380.0,-17216.0,-4136.0,-752.0,-1976.0,-465.0,1210.0,1851.0,1075.0,3635.0,457.0,194.0,-175.0,-228.0
1749632458.325075,1.846,-3466.8758017570735,-3470.2368514522136,-3458.3682696066226,-324.66601054859285,-3489.8741140066522,-3471.05213580157,-3476.3884516225403,-3480.5003422350096,2153,16440.0,14916.0,14480.0,-6668.0,9364.0,-17324.0,-4076.0,-752.0,-2040.0,-470.0,1182.0,1834.0,1078.0,3580.0,479.0,197.0,-128.0,-252.0
1749632458.375086,1.896,-3466.9412443120773,-3479.164514814557,-3462.5805720782964,-317.7345948945993,-3500.7605579657024,-3461.8492140590206,-3476.745138525383,-3468.580305556095,2159,16304.0,14960.0,14520.0,-6656.0,9452.0,-17244.0,-4144.0,-904.0,-2052.0,-465.0,1179.0,1834.0,1106.0,3611.0,459.0,199.0,-146.0,-257.0
1749632458.425086,1.946,-3466.66998242378,-3474.2718095954433,-3458.035062093742,-324.01108543706954,-3488.588242735057,-3470.2118733777847,-3477.190247811705,-3479.792463605698,2152,16340.0,14844.0,14548.0,-6708.0,9392.0,-17276.0,-4120.0,-836.0,-1976.0,-493.0,1169.0,1787.0,1070.0,3573.0,457.0,226.0,-138.0,-247.0
1749632458.475094,1.996,-3466.517116608276,-3471.253459081466,-3462.0470404084967,-317.5402654755432,-3500.944396593499,-3461.8082500169576,-3476.614752976865,-3468.9265016676786,2148,16352.0,14864.0,14484.0,-6580.0,9476.0,-17204.0,-4056.0,-852.0,-2004.0,-472.0,1166.0,1816.0,1105.0,3612.0,479.0,205.0,-119.0,-252.0
1749632458.52509,2.046,-3466.6025416228226,-3489.9995039402847,-3457.6798738753646,-323.609937561743,-3488.2260606558393,-3470.2573334732456,-3476.018276559505,-3479.2394490378438,2151,16316.0,14836.0,14420.0,-6648.0,9444.0,-17252.0,-4188.0,-872.0,-2088.0,-468.0,1171.0,1844.0,1072.0,3558.0,460.0,228.0,-131.0,-249.0
1749632458.5750709,2.096,-3466.0760038138633,-3456.8266228528764,-3461.5584692726698,-316.9727636245207,-3500.4408386130144,-3461.6359013033984,-3476.3864533765855,-3468.121208548094,2148,16304.0,14800.0,14492.0,-6640.0,9404.0,-17184.0,-4200.0,-872.0,-2108.0,-469.0,1207.0,1835.0,1087.0,3606.0,489.0,188.0,-140.0,-255.0
1749632458.6251252,2.146,-3467.523233446268,-3481.8991144030233,-3457.5984453527267,-324.52863113923445,-3488.088681246481,-3470.368735685198,-3476.0882151679057,-3479.792463605698,2149,16396.0,14952.0,14432.0,-6680.0,9356.0,-17220.0,-4200.0,-724.0,-2056.0,-481.0,1190.0,1824.0,1068.0,3525.0,450.0,222.0,-141.0,-229.0
